id;uid;jhi_schema;label
1;Stravenue Checking Account Corporate;attitude users transparent;monitor alliance Auto Loan Account
2;Fantastic Soft Ball primary;bus Clothing;European Unit of Account 17(E.U.A.-17) open architecture
3;New Hampshire mint green Keyboard;GB incentivize Regional;Home one-to-one
4;Silver RAM JBOD;Croatia;Village middleware
5;Soap Metal;back-end;bus Ergonomic Frozen Fish Computer
6;tan parse;Books target;transmitter
7;Belize;Concrete Handmade Frozen Computer Compatible;COM Rubber Music
8;Buckinghamshire;withdrawal District;e-markets deliverables
9;Botswana engage Avon;Regional Plastic;Visionary CFA Franc BCEAO Tools
10;mobile mint green;violet;Planner
