id;uid;namespace;label;box_type;is_active;rules_acceptance_date
1;Interactions Personal Loan Account copy;Towels Unbranded Steel Keyboard;synthesizing Internal;NATURAL;true;2020-04-14T23:20:46
2;Awesome East Caribbean Dollar Savings Account;Frozen Investment Account;proactive copying;LEGAL;true;2020-04-14T16:51:53
3;CSS Salad;Sharable;hacking Unbranded Wooden Salad Road;NATURAL;false;2020-04-14T23:14:53
4;Dominican Peso USB;Outdoors Legacy scalable;Borders supply-chains tangible;NATURAL;true;2020-04-14T08:45:05
5;Savings Account payment user-facing;online;Fish Global;NATURAL;true;2020-04-14T16:18:42
6;payment Borders asynchronous;yellow;Rustic;NATURAL;false;2020-04-14T17:59:20
7;Swedish Krona Mayotte ADP;Cotton Executive Triple-buffered;backing up overriding Buckinghamshire;NATURAL;false;2020-04-15T00:36:01
8;Savings Account deposit;Arkansas alarm Table;enable North Carolina;NATURAL;true;2020-04-14T19:48:37
9;ubiquitous e-services;online;transmitting;NATURAL;true;2020-04-14T21:33:09
10;1080p Open-architected Data;compressing;Fantastic;NATURAL;true;2020-04-15T04:00:23
