id;msg_id;state;subject;created_at;replay_to;in_replay_to
1;Fish;TRASH_DRAFT;optical;2020-04-14T21:10:04;Rapid Interactions vertical;Malta fuchsia Oklahoma
2;recontextualize Gourde US Dollar;TRASH_PENDING;optical;2020-04-14T14:03:29;Designer context-sensitive;Saudi Riyal capacitor e-commerce
3;Alabama Applications;DRAFT;West Virginia;2020-04-14T13:45:42;Savings Account teal;Customer-focused ivory Generic Steel Gloves
4;optical;TRASH_RECEIVED;niches Computers;2020-04-15T00:20:01;value-added transmit Croatia;global Sleek
5;Borders alarm;PAID;FTP Field;2020-04-14T23:38:31;Triple-buffered;Savings Account Practical
6;frictionless Shoes national;PAID;Books throughput lime;2020-04-14T08:29:34;Assistant;Cambridgeshire functionalities Integration
7;hacking Upgradable Auto Loan Account;TRASH_PAID;artificial intelligence Corporate Berkshire;2020-04-14T17:27:35;GB relationships;port Outdoors Integration
8;green;TRASH_DRAFT;Tennessee;2020-04-14T15:30:45;input;Metal
9;Buckinghamshire Unbranded copy;DRAFT;Plastic open-source Salad;2020-04-14T22:37:34;capacitor Handmade;white User-centric
10;circuit;TRASH_PENDING;programming Coordinator;2020-04-14T08:51:09;SDD Avon;Internal protocol Handmade
